id,city,gu,ro,detail
1,서울시,서초구,효령로,427
2,서울시,서초구,강남대로,253
3,서울시,서초구,사평대로58길,12
4,서울시,서초구,강남대로,259
5,서울시,서초구,효령로77길,30
6,서울시,서초구,바우뫼로12길,70
7,서울시,서초구,반포대로14길,53
8,서울시,서초구,서초대로,357
9,서울시,서초구,나루터로,64
10,서울시,서초구,반포대로12길,29
11,서울시,송파구,삼학사로,98
12,서울시,송파구,올림픽로,240
13,서울시,송파구,올림픽로10길,5
14,서울시,송파구,잠실로,209
15,서울시,송파구,송파대로,111
16,서울시,송파구,올림픽로,300
17,서울시,송파구,송파대로28길,5
18,서울시,송파구,백제고분로,268
19,서울시,송파구,올림픽로32길,7
20,서울시,송파구,송파대로,385
21,서울시,강남구,테헤란로,610
22,서울시,강남구,테헤란로,415
23,서울시,강남구,언주로,517
24,서울시,강남구,영동대로,506
25,서울시,강남구,도산대로1길,83
26,서울시,강남구,봉은사로,524
27,서울시,강남구,봉은사로,134
28,서울시,강남구,영동대로,737
29,서울시,강남구,봉은사로,155
30,서울시,강남구,도산대로,153